nonstationary level,time series length,observation noise,process noise,evidence,significance_level,bayes factor error
0,100,0.1,0.1,-18.75770077928005,-74.1225078795896,nan
1,100,0.1,0.1,5.274995792959453,0.7031750381174309,nan
2,100,0.1,0.1,101.09637237407263,0.9999999999223104,nan
0,200,0.1,0.1,-18.805047299891516,-74.9459694052153,nan
1,200,0.1,0.1,10.951554037442277,0.919676135240715,nan
2,200,0.1,0.1,217.9210690596321,1.0,nan
0,100,0.0,0.1,-18.804083711702514,-74.92912080954669,nan
1,100,0.0,0.1,126.50790678746846,0.9999999999997765,nan
2,100,0.0,0.1,106.4140296388017,0.9999999999771652,nan
0,100,0.1,0.1,-16.545424315987894,-44.13801240931147,nan
1,100,0.1,0.1,-10.659545460494293,-10.640041965061787,nan
2,100,0.1,0.1,105.39461648690491,0.9999999999711239,nan
0,100,0.2,0.1,-18.35529183846666,-67.47454952717115,nan
1,100,0.2,0.1,-16.68912163847009,-45.65650078973295,nan
2,100,0.2,0.1,21.39039035512073,0.9927395930391463,nan
0,100,0.3,0.1,-18.550946816725865,-70.62995555255819,nan
1,100,0.3,0.1,3.3004871351968177,0.5323173202294544,nan
2,100,0.3,0.1,23.27130548184233,0.9952916422731162,nan
0,100,0.1,0.0,-18.441589772945367,-68.84880449441204,nan
1,100,0.1,0.0,-0.07253722197268381,-0.016842576043080815,nan
2,100,0.1,0.0,116.6722427079347,0.9999999999978483,nan
0,100,0.1,0.1,-18.789177395110958,-74.66895555340987,nan
1,100,0.1,0.1,8.799067579835835,0.8681460204399323,nan
2,100,0.1,0.1,106.03736325372223,0.9999999999750964,nan
0,100,0.1,0.2,-17.733581477093146,-58.34144913564286,nan
1,100,0.1,0.2,-0.4452871871548315,-0.10797183012213196,nan
2,100,0.1,0.2,44.87698071348249,0.999967468661801,nan
0,50,0.1,0.1,-18.706423837949295,-73.24075567581282,nan
1,50,0.1,0.1,-16.078337390183957,-39.535332430396565,nan
2,50,0.1,0.1,0.362569798340155,0.08009491365992305,nan
0,100,0.1,0.1,-17.624082138434172,-56.86396825692554,nan
1,100,0.1,0.1,0.04539850849642795,0.010398946062519454,nan
2,100,0.1,0.1,119.81427506009194,0.9999999999989563,nan
0,200,0.1,0.1,-18.806646827884446,-74.97394583186635,nan
1,200,0.1,0.1,31.452046945923236,0.9992841940477767,nan
2,200,0.1,0.1,230.24662604450754,1.0,nan
0,100,0.0,0.1,-18.80448854685853,-74.93619900452236,nan
1,100,0.0,0.1,85.1283834891621,0.9999999969298354,nan
2,100,0.0,0.1,193.1774911407065,1.0,nan
0,100,0.1,0.1,-18.805347402160233,-74.95121753664391,nan
1,100,0.1,0.1,-10.224309447272033,-9.530062398846175,nan
2,100,0.1,0.1,101.29895595319107,0.9999999999258512,nan
0,100,0.2,0.1,-18.7180010085693,-73.43892639861873,nan
1,100,0.2,0.1,-17.65522540127957,-57.28040218680783,nan
2,100,0.2,0.1,33.74693489510049,0.9995780057722629,nan
0,100,0.3,0.1,-18.787423148950936,-74.63839675641564,nan
1,100,0.3,0.1,-18.752070915586096,-74.02518786082035,nan
2,100,0.3,0.1,-5.3663185752376314,-2.4405815611140493,nan
0,100,0.1,0.0,-18.433946743748532,-68.72598760629931,nan
1,100,0.1,0.0,-4.726034129036726,-1.9689536176600289,nan
2,100,0.1,0.0,126.9720497696032,0.9999999999997992,nan
0,100,0.1,0.1,-18.799564030899678,-74.85014285899209,nan
1,100,0.1,0.1,-1.9529043795783265,-0.5677991980289572,nan
2,100,0.1,0.1,150.5964383510891,0.9999999999999991,nan
0,100,0.1,0.2,-18.77049596184026,-74.34416014253368,nan
1,100,0.1,0.2,-12.38151663645895,-16.304205484940567,nan
2,100,0.1,0.2,34.55251973218248,0.999649451569675,nan
0,50,0.1,0.1,-18.78159823880459,-74.53701588471951,nan
1,50,0.1,0.1,-13.756148290559139,-22.747332279207125,nan
2,50,0.1,0.1,27.604194763098757,0.9982638768677807,nan
