# PSEUDOCALANUS, OIKOPLEURA, ACARTIA LONGIREMIS, PARACALANUS PARVUS
-1.1808314746,-1.2390725255,-1.1032185591,-1.1153715052
0.1860045570,-0.4242304841,-1.1032185591,-1.0655298124
-0.3617482751,-0.5543904802,-0.7280599186,-1.0927678470
1.0726589517,-1.0984870123,-0.4997687126,-0.9921168537
0.6900909613,-1.1576827143,0.1463590227,-1.2785158411
2.2489250320,-0.6934205959,0.9576357061,-0.1961358502
4.7062380883,-0.4934290189,1.7279565523,0.9649798641
0.7034421659,0.7401439889,0.4343513106,0.0484540569
0.0426751521,-0.1531882808,-0.3086362608,-0.5051243120
0.2985339048,1.4327918795,-0.3672722187,0.1744449651
-0.3671767618,0.1867374934,-0.8999994777,-0.0850801603
-0.6036730275,-0.4337918769,-0.7693088841,-0.4093604503
-0.6172601837,-0.3685333387,-0.7859942455,-0.7169011510
-0.3465148002,-0.0677074310,-0.4681209535,-0.4292009415
0.2378367671,0.4701847409,-0.2923253509,-0.7437204953
0.5428565786,-0.1479644901,2.4433948312,-0.8035425659
0.3477635378,-0.1972073279,0.8931522411,-0.5809593472
1.7410634371,-0.2657007635,2.5337711705,-0.2887089324
1.2144996921,1.0066687532,0.4845267993,-0.1995786687
0.4264588648,1.0349023955,0.9172390609,0.5811095110
0.7376568749,0.0385286848,0.3487583763,0.5106641298
       nan,       nan,       nan,       nan
-0.9844064551,0.4223011413,-0.6573804075,1.1166267762
-1.0787308853,0.2883049672,-1.1032185591,0.0930496411
-0.3077440714,-0.1159762420,-0.5654368356,0.2334061761
0.2557916131,0.1086402500,-0.6018045356,-0.2670507014
0.8510258803,0.5073855170,0.4180026891,-1.2785158411
1.0220812922,0.3932981987,1.4841773243,-0.9422423611
0.1880777504,-0.2494733031,0.9624023202,-0.7268857090
0.5770313732,-1.5347666352,1.6200560223,-0.8700423757
0.9767133367,0.1150145763,1.5084147196,-0.6634998447
0.9064114080,-1.0132112589,0.5057467504,-0.7186033608
-0.0743249054,0.6232037580,0.5077181622,0.9220433147
-0.7869949614,0.3045555594,-0.2250246979,-0.5139833907
-1.5167924125,-0.8603386191,-1.1032185591,-0.0493444996
-0.7603615333,1.2082704562,-1.1032185591,0.2470377461
-1.0492090087,0.4313329701,-0.4737460764,0.8539701224
-0.7412042616,0.9904781420,-0.6754871527,1.0816304700
-0.9852025409,0.5827758105,-0.5019772406,0.9887743719
0.5054452713,-1.1022905949,0.1181283362,-0.3440302712
1.5603242176,0.3893770332,1.2069439544,0.9747375704
0.6525764384,-0.4856454444,0.6635273773,0.1910155343
0.2342423892,0.5314285892,0.4280826774,0.5577020175
0.0800758121,0.9448006154,0.9233218663,0.7004909175
-0.9210176357,-1.1332767081,-0.3559477429,0.4265775302
       nan,       nan,       nan,       nan
-1.2349527364,0.5321623416,-1.1032185591,0.7225533370
-1.4396155217,-0.3067084365,-1.1032185591,-0.1186725342
-0.8949602334,0.2979331721,-0.9199843403,1.1840443876
0.9420301720,-0.7562659294,-1.1032185591,0.6543462091
1.4304848357,0.8597459828,-0.3915659590,0.9960160357
1.1209711341,1.0183359798,0.3948899222,1.0519242307
2.3272450440,0.0406454269,0.0056465469,1.2036501963
1.5308379705,-0.0948474447,1.2929005699,2.5909966437
-0.5418021227,0.4083537467,-0.0269069110,2.0286789772
-1.0064518952,-0.2543562468,-0.3724384806,0.5279338170
-0.7355006707,0.3439698882,-0.6389401960,1.0224820334
-0.6045078591,-0.2180205298,-1.1032185591,-0.7117137169
-0.8470564324,0.0663245517,-1.1032185591,0.7746766848
-0.9386301434,1.1007111305,-1.1032185591,0.5799281563
-0.9544444004,-1.1264557677,-1.1032185591,-0.5485291949
-0.7878883673,0.4602600965,-1.1032185591,0.8260664356
-0.9815103477,0.4644244107,-1.1032185591,1.5270442904
-1.1375373660,0.3164982256,-1.1032185591,1.7422216125
-0.8725023365,0.3116286296,-0.7122250872,1.5301413704
-0.2038908347,-0.1365258902,0.8740075373,1.1330779149
0.9824048432,-0.9069814397,0.8358158542,1.7322388894
0.4549173018,-0.3092638989,0.8189485421,0.8663323495
0.0101964292,1.1958962584,-0.6936883809,0.7383008107
-0.8177058351,-0.2290266788,-0.5653829564,0.8303561488
       nan,       nan,       nan,       nan
-0.9300955928,-0.7675204680,-0.8945217748,-0.4459263527
0.3806540770,0.4350189340,-1.1032185591,-0.2619106925
0.3484010691,1.1604852306,-0.8443620566,0.0331097266
-0.7039887149,1.5655572235,0.8470325008,-0.6689535137
1.8579554406,-0.3830490823,0.6000011062,0.6963231633
