nonstationary level,time series length,observation noise,process noise,evidence,significance_level,bayes factor error
1,200,0.2,0.1,-4.9578152129216955,-2.131709871788592,nan
2,200,0.2,0.1,0.6935899153531944,0.14760477446370257,nan
0,200,0.3,0.1,-18.178734538727205,-64.74662348092431,nan
1,200,0.3,0.1,8.253840700426814,0.8505086960908573,nan
2,200,0.3,0.1,71.71345988301644,0.9999999326009132,nan
0,200,0.1,0.0,-18.80813591216284,-74.99999981371498,nan
1,200,0.1,0.0,-18.735786784169786,-73.7444031690099,nan
2,200,0.1,0.0,-10.490214922294221,-10.194932832296287,nan
0,200,0.1,0.1,67.24853197785183,0.9999998115714083,nan
1,200,0.1,0.1,-17.80243942630411,-59.28981380622336,nan
2,200,0.1,0.1,43.067138765019344,0.99995065011744,nan
0,200,0.1,0.2,-16.118912372657594,-39.91581791852212,nan
1,200,0.1,0.2,-18.65437285084132,-72.35627755875325,nan
2,200,0.1,0.2,-3.087241843223473,-1.0357487852729772,nan
0,100,0.1,0.1,-18.45180248288424,-69.01325166243755,nan
1,100,0.1,0.1,-11.901011305004786,-14.491773207970807,nan
2,100,0.1,0.1,-18.13796057459399,-64.13224644272096,nan
0,200,0.1,0.1,-18.704582409738173,-73.20928393277063,nan
1,200,0.1,0.1,-14.773130560913925,-29.01325209548641,nan
2,200,0.1,0.1,-11.066642407114259,-11.783925783825664,nan
0,400,0.1,0.1,-18.700069810127946,-73.13221574962375,nan
1,400,0.1,0.1,-18.55724867530886,-70.73397011693721,nan
2,400,0.1,0.1,-10.714806348080735,-10.789099544742472,nan
0,200,0.0,0.1,-18.80813094012074,-74.99991280478483,nan
1,200,0.0,0.1,-18.284272646477824,-66.36390653979383,nan
2,200,0.0,0.1,15.187194670452877,0.9697113070251419,nan
0,200,0.1,0.1,-16.772524952215523,-46.56116622647761,nan
1,200,0.1,0.1,-18.798288134567592,-74.82786242287447,nan
2,200,0.1,0.1,11.375134852201986,0.927140444936156,nan
