evidence,significance_level,evidence_linear,significance_level_linear,posterior_weighted_theta,posterior_weighted_delta,prediction_skill_s,prediction_skill_ns
-22.98729875160037,-197.94355541569226,-16.765683122141915,-46.48629784905925,3.71998946201396,0.10884568118209477,0.9350081614869974,0.9350081614869974
-22.76131663985515,-187.85638135428167,-15.12191221528201,-31.523046608745602,3.609505365038555,0.13628781177336763,0.931469530114893,0.931469530114893
-21.80762896064994,-150.62223568455894,-15.850312928274665,-37.46194945730936,3.6259609230173857,0.24985811008304512,0.9406944158206808,0.9406944158206808
-22.812528788059407,-190.09656421380865,-12.963128312393877,-18.783942049773458,3.534598801819315,0.1321085422224431,0.9306999767098358,0.9306999767098358
-22.51316321683337,-177.36774494513605,-18.123889106942116,-63.921554581624875,3.757763742023846,0.16092333591547003,0.9340617013926645,0.9340617013926645
-23.15786231922764,-205.91226362327924,-15.711543758039124,-36.25241014152683,3.7317316080848437,0.08750452539812495,0.9370006456900967,0.9370006456900967
-23.19727016722466,-207.79832804324474,-13.193388378138431,-19.861178435245154,3.712495827276752,0.0824389952691411,0.9280350600464773,0.9280350600464773
-23.1461050370195,-205.3528653367626,-17.47441737844201,-54.9038525525011,3.7516649162219737,0.0910587955845093,0.9321110070003277,0.9321110070003277
-23.29152720471435,-212.37951343029837,-15.52119288168053,-34.654905371898955,3.575971406797817,0.07556349058298326,0.9246548177732326,0.9246548177732326
-20.29616197504547,-106.05727813131051,-15.135220905771865,-31.622864373370653,3.6324461066413054,0.41145000735178583,0.9302626873785004,0.9302626873785004
