evidence,significance_level,evidence_linear,significance_level_linear,posterior_weighted_theta,posterior_weighted_delta,prediction_skill_s,prediction_skill_ns
-27.271927263785884,-532.5716254430603,-22.699953297738183,-185.20671126429863,2.7782540700744467,0.003213772287250554,0.7249176064254059,0.7249176064254059
-27.149077167437838,-517.6898107943045,-23.12918473401076,-204.55046964528242,2.566558405392904,0.008602662026461271,0.6947523932904348,0.6947523932904348
-27.25366583805772,-530.3327478751106,-23.04052462788512,-200.39675225151544,4.970739936897572,0.00399664328154752,0.8191657111910973,0.8191657111910973
-27.155339328053888,-518.4382572801397,-21.95716532045768,-155.93381487006286,3.118826356222685,0.008312792962033235,0.7153250798968236,0.7153250798968236
-26.870478434717615,-485.4607930434976,-22.599179091962263,-180.9356929328875,2.9926989948378053,0.021220933149244406,0.7027847442088195,0.7027847442088195
-27.240042402288488,-528.6686152794429,-21.393091037880648,-136.81900298062027,3.001908249156646,0.004612711810176833,0.7386313588631995,0.7386313588631995
-27.112551700521294,-513.3457670650662,-23.20128400169038,-207.99139274141822,2.4718045965550295,0.010274651266832096,0.5780183463376695,0.5780183463376695
-27.09661495554287,-511.4617974756362,-22.23384476117657,-166.2570667452043,3.0120282946457495,0.010945924677710406,0.6949877259273737,0.6949877259273737
-27.196099882093115,-523.3363761629602,-22.547825690023036,-178.79705297449442,2.9613941031570508,0.006547452808859827,0.6750861723388778,0.6750861723388778
-26.711621080985722,-467.98840769769413,-20.535972416854186,-112.13506786011803,2.9872000879860092,0.028553859353079015,0.6677680198819409,0.6677680198819409
-27.042958395019305,-505.1693449358562,-22.784052431079175,-188.8476576265363,3.065056074684923,0.013371189245728677,0.6910233451063086,0.6910233451063086
-27.200003865771613,-523.8079273951702,-22.12080969256907,-161.95998246358585,2.9727226723307023,0.006335176379479174,0.7321636053901609,0.7321636053901609
-27.155334620086723,-518.4376941836615,-21.60912045955291,-143.84784755550257,3.0821385416744054,0.008347722242142846,0.7168881791630398,0.7168881791630398
-27.07301274165678,-508.684321253269,-22.34874066446391,-170.74103128017526,2.892418853730948,0.011997042298209038,0.6932454716915211,0.6932454716915211
-26.883020639887402,-486.86769778793683,-21.615642874668595,-144.06554951196821,2.9923857065974464,0.02053507027541882,0.726222692210778,0.726222692210778
-27.282551554540238,-533.8785174007031,-22.83057325736117,-190.89220166430758,3.3223415214118166,0.0027532139842652795,0.7479306861902194,0.7479306861902194
-26.80214196694171,-477.86621383447937,-22.48188740615167,-176.08783995025436,2.8087554745865533,0.024692007701532504,0.7031248031781017,0.7031248031781017
-27.121632004470516,-514.4222950875053,-22.413693039614277,-173.3288655409133,2.983951252657865,0.009858907499102305,0.6937080695974038,0.6937080695974038
-27.332928990759257,-540.1191442131683,-22.145397474870222,-162.88520453906466,3.2097795433933864,0.0005917341757881407,0.7915648774117867,0.7915648774117867
-27.238705714174316,-528.5056169390467,-22.689002291697108,-184.73777091589056,2.9249682280507225,0.004667740258630789,0.7051190540344676,0.7051190540344676
-27.260442721308106,-531.162505333036,-22.81165723634516,-190.05821838296794,3.017532805371178,0.003709197655263133,0.716702426621862,0.716702426621862
-27.167589757975826,-519.9055393728462,-21.98625305738886,-156.98843814845245,3.3354890507661574,0.0077529565828858785,0.8095675516787095,0.8095675516787095
-27.302075764428295,-536.2885387405438,-22.752515109200196,-187.4740274260587,2.955823415720632,0.0019104893192364394,0.8416629709767447,0.8416629709767447
-26.280297276050074,-423.6486302946848,-21.420779297548105,-137.70046905148587,3.494625561308066,0.0491626176617305,0.742308924934709,0.742308924934709
-26.34014015881187,-429.54050499749724,-22.131206013809877,-162.3505501132186,2.8482224881713196,0.0475007249487376,0.6369259885680449,0.6369259885680449
-27.11192194253233,-513.2711886659257,-23.07367554407721,-201.93995250928754,3.1180940410887783,0.010216974393480209,0.6869038281013706,0.6869038281013706
-27.282779109176538,-533.906543839055,-23.098240585828297,-203.09109631457505,3.12899909086542,0.002740342343279293,0.71429689127954,0.71429689127954
-27.138741703603838,-516.4568856594187,-22.393161599431725,-172.50666408928976,2.8409750976516586,0.009010892226260267,0.7145495035036169,0.7145495035036169
-26.14835566605884,-410.94151949334395,-22.376129411482133,-171.82753714961228,3.0045656092562836,0.05708379442470304,0.7242453941274007,0.7242453941274007
