# evidence, significance_level, bayes factor error, linear evidence, linear significance_level, linear bayes factor error, posterior weighted theta, posterior weighted delta
-14.036923375607188,-24.333333333309415,nan,-12.157224482651138,-15.43321163201665,nan,7.894736847154954,3.727753244688744e-12
-14.036870976307599,-24.333027678743168,nan,11.882178353867898,0.935169082985874,nan,7.894736895670124,4.7626550149562965e-05
-14.03692337523038,-24.3333333311114,nan,-13.056126505609225,-19.212156420795495,nan,7.894736895847191,3.462158435621191e-10
-14.036923375585491,-24.333333333182843,nan,-10.836197736573734,-11.123269891686977,nan,7.8947370327799975,2.3450036697450392e-11
-14.03692337528951,-24.333333331456323,nan,-2.5147304077743593,-0.7843212217495701,nan,7.894737111674688,2.924749198793e-10
-14.036923375609653,-24.333333333323793,nan,-13.874796273273285,-23.4050458174465,nan,7.8947368894682715,1.4860192081489255e-12
-14.03692337553701,-24.333333332900043,nan,-12.908951421908263,-18.538676491442903,nan,7.894736992096282,6.751462871100306e-11
-14.036923375608577,-24.33333333331751,nan,-11.376136917375552,-12.728202975955128,nan,7.8947368780376985,2.4661210052144337e-12
-14.036923375533398,-24.333333332878983,nan,-12.351415374344173,-16.184683481549865,nan,7.894736937830102,7.079540174661094e-11
-14.036923375601873,-24.333333333278407,nan,-12.905798989979054,-18.5244990149325,nan,7.894736930061601,8.55787164076828e-12
-14.036923371848227,-24.333333311382578,nan,-10.430660153345624,-10.042464591502217,nan,7.894736854725054,3.42032254540069e-09
-14.036923374967179,-24.333333329576096,nan,-12.336851447525206,-16.127151713438394,nan,7.894736912836312,5.854454573275308e-10
-14.03692337555074,-24.33333333298014,nan,-12.297991932322052,-15.974586091192581,nan,7.894736935352453,5.503445599482597e-11
-14.036923375277347,-24.333333331385372,nan,-12.810649193491601,-18.10138769211793,nan,7.894738895133299,3.0352863880695857e-10
-14.036923375610499,-24.333333333328728,nan,-8.142880353113416,-5.520607141801021,nan,7.894736842330542,7.174682132603009e-13
-14.036923375147673,-24.333333330628953,nan,-12.976088858548634,-18.8430709785956,nan,7.894736869696471,4.2138730803972494e-10
-14.036923375576041,-24.33333333312772,nan,-8.90519956565418,-6.771770305711792,nan,7.894736868090285,3.203713195477343e-11
