# evidence, significance_level, bayes factor error, linear evidence, linear significance_level, linear bayes factor error, posterior weighted theta, posterior weighted delta
-14.03689077301425,-24.33314315607053,nan,-14.03689077301425,-24.33314315607053,nan,1.3400059211020595e-34,9.4382750914713e-06
-14.03690287450374,-24.33321374623586,nan,-14.036902874503742,-24.333213746235874,nan,2.5069372899267862e-29,1.635303167118685e-06
-14.036902872095997,-24.33321373219104,nan,-14.036902872095995,-24.33321373219103,nan,9.60527668293754e-30,1.9555465991308446e-05
-14.036680939766812,-24.331919192261974,nan,-14.036680939766812,-24.331919192261974,nan,2.0347532826149338e-27,9.864971763886256e-05
-14.036919428915425,-24.333310311416028,nan,-14.036919428915427,-24.333310311416042,nan,8.889375668431973e-28,8.857117677778259e-07
-14.036696377283196,-24.33200923775619,nan,-14.036696377283196,-24.33200923775619,nan,5.639447939522917e-30,0.0006648720977437698
-14.036623555280997,-24.331584477082664,nan,-14.036623555280997,-24.331584477082664,nan,2.1060404893334546e-31,0.0009982711457028153
-14.036915325976755,-24.33328637812336,nan,-14.036915325976754,-24.33328637812335,nan,5.794018581227446e-34,7.116120659730324e-06
-14.036739468071032,-24.332260583719894,nan,-14.036739468071033,-24.332260583719908,nan,1.4925433435391037e-28,1.1368229274748093e-05
-14.03681904156523,-24.332724737661923,nan,-14.03681904156523,-24.332724737661923,nan,1.721790104813065e-33,0.00010160089616339004
-14.036801362219895,-24.332621612916842,nan,-14.036801362219895,-24.332621612916842,nan,2.593425303700591e-34,4.669550198002477e-05
-14.036842090301205,-24.332859183034287,nan,-14.036842090301205,-24.332859183034287,nan,1.1386009657069324e-30,1.226866770105433e-05
-14.03682772593216,-24.332775394279963,nan,-14.03682772593216,-24.332775394279963,nan,1.1707076358629015e-29,3.3465987913187595e-05
-14.036903589853749,-24.33321791900731,nan,-14.036903589853749,-24.33321791900731,nan,4.381687468791057e-28,6.7066748083621606e-06
-14.036756377668224,-24.33235921706069,nan,-14.036756377668222,-24.332359217060677,nan,1.3427111826433663e-29,0.000500140933026803
-14.03691098192612,-24.333261038399208,nan,-14.03691098192612,-24.333261038399208,nan,3.30654340524302e-34,1.1333976887061769e-05
-14.036845782979299,-24.33288072282764,nan,-14.036845782979299,-24.33288072282764,nan,6.261808168210655e-38,1.679367586698246e-05
-14.036917492617057,-24.333299016583037,nan,-14.036917492617057,-24.333299016583037,nan,1.2023059292434405e-28,1.3863666145259077e-06
-14.036643266600322,-24.331699449780817,nan,-14.036643266600322,-24.331699449780817,nan,2.1001944038404042e-37,8.88027278865241e-05
-14.036908683299094,-24.333247630054064,nan,-14.036908683299094,-24.333247630054064,nan,4.795711558345919e-35,5.441114017940536e-06
-14.03687685596308,-24.333061975650462,nan,-14.03687685596308,-24.333061975650462,nan,9.266347495857402e-35,0.00011667966670820835
-14.036813774533845,-24.33269401468916,nan,-14.036813774533844,-24.332694014689146,nan,3.6944852810988682e-25,0.0008388345846643112
-14.036868517146797,-24.333013334105228,nan,-14.036868517146797,-24.333013334105228,nan,5.335752845880821e-34,5.184493059161554e-06
